"no","time_date","time_hours","sourceip","destinationip","protocol","length","info","info_cont1","info_cont2","info_cont3","info_cont4","info_cont5","info_cont6","info_cont7","__dt"
"182289","1970-01-03","06:01:42.695923","fe80::b4ae:c3ed:7921:ab75","ff02::2","ICMPv6","86","Multicast","Listener","Done","NULL","NULL","NULL","NULL","NULL","2021-02-16 00:00:00.000"
"182288","1970-01-03","06:01:42.358070","fe80::5860:41c8:b74d:ba93","ff02::1:ff00:fa5","ICMPv6","86","Multicast","Listener","Report","NULL","NULL","NULL","NULL","NULL","2021-02-16 00:00:00.000"
"182286","1970-01-03","06:01:42.315915","fd2d:ab8c:225::b30","ff02::1","ICMPv6","86","Neighbor","Advertisement","fd2d:ab8c:225::b30","(ovr)","is","at","08:00:27:52:f4:11","NULL","2021-02-16 00:00:00.000"
"182293","1970-01-03","06:01:42.954925","fe80::69b0:5ca7:a676:2c5a","ff02::1:ff00:cc7","ICMPv6","86","Multicast","Listener","Report","NULL","NULL","NULL","NULL","NULL","2021-02-16 00:00:00.000"
"182295","1970-01-03","06:01:43.160842","fe80::5dd3:6bb3:7720:1e83","ff02::1:ff00:b30","ICMPv6","86","Multicast","Listener","Report","NULL","NULL","NULL","NULL","NULL","2021-02-16 00:00:00.000"
"182296","1970-01-03","06:01:43.298680","fe80::4a8:b1f0:5819:1034","ff02::1:ff0b:2224","ICMPv6","86","Multicast","Listener","Report","NULL","NULL","NULL","NULL","NULL","2021-02-16 00:00:00.000"
"182290","1970-01-03","06:01:42.696130","fe80::da58:d7ff:fe00:f72","ff02::1","ICMPv6","86","Multicast","Listener","Query","NULL","NULL","NULL","NULL","NULL","2021-02-16 00:00:00.000"
"182297","1970-01-03","06:01:43.716917","fe80::e1ff:dec7:bebd:f5d0","ff02::1:ff01:fcd7","ICMPv6","86","Multicast","Listener","Report","NULL","NULL","NULL","NULL","NULL","2021-02-16 00:00:00.000"
"182294","1970-01-03","06:01:43.112839","fe80::f106:5909:32ae:f4cb","ff02::1:ffcd:badf","ICMPv6","86","Multicast","Listener","Report","NULL","NULL","NULL","NULL","NULL","2021-02-16 00:00:00.000"
"182299","1970-01-03","06:01:44.698986","fe80::da58:d7ff:fe00:f72","ff02::1","ICMPv6","86","Multicast","Listener","Query","NULL","NULL","NULL","NULL","NULL","2021-02-16 00:00:00.000"
"182298","1970-01-03","06:01:43.755216","fe80::91d7:c7cc:5795:f857","ff02::1:ff75:80ea","ICMPv6","86","Multicast","Listener","Report","NULL","NULL","NULL","NULL","NULL","2021-02-16 00:00:00.000"
"182300","1970-01-03","06:01:44.818910","fe80::b4ae:c3ed:7921:ab75","ff02::1:ffa9:9bf6","ICMPv6","86","Multicast","Listener","Report","NULL","NULL","NULL","NULL","NULL","2021-02-16 00:00:00.000"
"182301","1970-01-03","06:01:44.916434","fe80::981:b1fd:8de1:811e","ff02::1:ffe1:811e","ICMPv6","86","Multicast","Listener","Report","NULL","NULL","NULL","NULL","NULL","2021-02-16 00:00:00.000"
"182302","1970-01-03","06:01:44.916624","fe80::981:b1fd:8de1:811e","ff02::1:ff00:ab7","ICMPv6","86","Multicast","Listener","Report","NULL","NULL","NULL","NULL","NULL","2021-02-16 00:00:00.000"
"182303","1970-01-03","06:01:44.941035","fe80::f802:c758:21ff:4cef","ff02::1:ffff:4cef","ICMPv6","86","Multicast","Listener","Report","NULL","NULL","NULL","NULL","NULL","2021-02-16 00:00:00.000"
"182304","1970-01-03","06:01:44.941185","fe80::f802:c758:21ff:4cef","ff02::1:ff00:280","ICMPv6","86","Multicast","Listener","Report","NULL","NULL","NULL","NULL","NULL","2021-02-16 00:00:00.000"
"182308","1970-01-03","06:01:45.218530","fe80::e1ff:dec7:bebd:f5d0","ff02::1:ff00:3a7","ICMPv6","86","Multicast","Listener","Report","NULL","NULL","NULL","NULL","NULL","2021-02-16 00:00:00.000"
"182305","1970-01-03","06:01:44.948041","fe80::69b0:5ca7:a676:2c5a","ff02::1:ffdb:11ee","ICMPv6","86","Multicast","Listener","Report","NULL","NULL","NULL","NULL","NULL","2021-02-16 00:00:00.000"
"182307","1970-01-03","06:01:45.195231","fe80::b4ae:c3ed:7921:ab75","ff02::1:ff00:f72","ICMPv6","86","Neighbor","Solicitation","for","fe80::da58:d7ff:fe00:f72","from","08:00:27:53:c0:11","NULL","NULL","2021-02-16 00:00:00.000"
"182309","1970-01-03","06:01:45.559695","fe80::695d:d39c:6fe8:612","ff02::1:ff00:fa9","ICMPv6","86","Multicast","Listener","Report","NULL","NULL","NULL","NULL","NULL","2021-02-16 00:00:00.000"
"182311","1970-01-03","06:01:45.949818","fe80::69b0:5ca7:a676:2c5a","ff02::1:ff00:cc7","ICMPv6","86","Multicast","Listener","Report","NULL","NULL","NULL","NULL","NULL","2021-02-16 00:00:00.000"
"182310","1970-01-03","06:01:45.653947","fe80::5dd3:6bb3:7720:1e83","ff02::1:ff43:e352","ICMPv6","86","Multicast","Listener","Report","NULL","NULL","NULL","NULL","NULL","2021-02-16 00:00:00.000"
"182306","1970-01-03","06:01:45.105705","fe80::b504:f453:742b:7a21","ff02::1:ff2b:7a21","ICMPv6","86","Multicast","Listener","Report","NULL","NULL","NULL","NULL","NULL","2021-02-16 00:00:00.000"
"182312","1970-01-03","06:01:45.980091","fe80::7479:68ba:3dc6:1d14","ff02::1:ffc6:1d14","ICMPv6","86","Multicast","Listener","Report","NULL","NULL","NULL","NULL","NULL","2021-02-16 00:00:00.000"
